,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,nibrs_start_date,ori,region_desc,region_name,state_abbr,state_name
TX0911900,Austin College,University or College,GRAYSON,West South Central,33.624508,-96.675699,False,,TX0911900,Region III,South,TX,Texas
TX1390200,Paris Police Department,City,LAMAR,West South Central,33.65059,-95.52379,False,,TX1390200,Region III,South,TX,Texas
TX1520100,Idalou Police Department,City,LUBBOCK,West South Central,33.611469,-101.819944,False,,TX1520100,Region III,South,TX,Texas
TX1000200,Silsbee Police Department,City,HARDIN,West South Central,30.338036,-94.18288,True,01/01/2017,TX1000200,Region III,South,TX,Texas
TX1880100,Amarillo Police Department,City,RANDALL; POTTER,West South Central,35.398675,-101.893804,True,10/01/1999,TX1880100,Region III,South,TX,Texas
TX0201900,Brookside Village Police Department,City,BRAZORIA,West South Central,29.167817,-95.434647,False,,TX0201900,Region III,South,TX,Texas
TX2180100,Sonora Police Department,City,SUTTON,West South Central,30.568474,-100.642075,False,,TX2180100,Region III,South,TX,Texas
TX1660200,Rockdale Police Department,City,MILAM,West South Central,30.791242,-96.984395,True,01/01/2017,TX1660200,Region III,South,TX,Texas
TX1011500,Pasadena Police Department,City,HARRIS,West South Central,29.690775,-95.19727,False,,TX1011500,Region III,South,TX,Texas
TX2030000,San Augustine County Sheriff's Office,County,SAN AUGUSTINE,West South Central,31.382449,-94.16318,False,,TX2030000,Region III,South,TX,Texas
TX0170000,Borden County Sheriff's Office,County,BORDEN,West South Central,32.73859,-101.439199,False,,TX0170000,Region III,South,TX,Texas
TX0153900,Fair Oaks Ranch Police Department,City,COMAL; KENDALL; BEXAR,West South Central,29.731081,-98.62902,False,,TX0153900,Region III,South,TX,Texas
TX2202900,White Settlement Police Department,City,TARRANT,West South Central,32.76616,-97.471596,False,,TX2202900,Region III,South,TX,Texas
TX0432700,Josephine,City,COLLIN,West South Central,,,False,,TX0432700,Region III,South,TX,Texas
TX1670000,Mills County Sheriff's Office,County,MILLS,West South Central,31.494888,-98.594623,False,,TX1670000,Region III,South,TX,Texas
TX2450200,Raymondville Police Department,City,WILLACY,West South Central,26.481844,-97.78723,False,,TX2450200,Region III,South,TX,Texas
TX2020200,Pineland Police Department,City,SABINE,West South Central,31.3433,-93.851913,False,,TX2020200,Region III,South,TX,Texas
TX1012600,West University Place Police Department,City,HARRIS,West South Central,29.714615,-95.43791,False,,TX1012600,Region III,South,TX,Texas
TX2460000,Williamson County Sheriff's Office,County,WILLIAMSON,West South Central,30.648024,-97.6788,False,10/01/2018,TX2460000,Region III,South,TX,Texas
TX2201800,Lakeside Police Department,City,TARRANT,West South Central,32.823067,-97.495544,False,,TX2201800,Region III,South,TX,Texas
TX2490900,Boyd Police Department,City,WISE,West South Central,33.219095,-97.653997,False,,TX2490900,Region III,South,TX,Texas
TX0840800,League City Police Department,City,HARRIS; GALVESTON,West South Central,29.502487,-95.094574,False,,TX0840800,Region III,South,TX,Texas
TX1021300,Independent School District: Hallsville,Other,HARRISON,West South Central,32.547991,-94.374434,False,,TX1021300,Region III,South,TX,Texas
TX1080700,La Villa Police Department,City,HIDALGO,West South Central,26.396384,-98.18099,True,07/01/2015,TX1080700,Region III,South,TX,Texas
TX0280900,Martindale Police Department,City,CALDWELL,West South Central,29.840062,-97.630394,False,,TX0280900,Region III,South,TX,Texas
TX0300000,Callahan County Sheriff's Office,County,CALLAHAN,West South Central,32.29315,-99.372249,False,,TX0300000,Region III,South,TX,Texas
TX0570600,Cockrell Hill Police Department,City,DALLAS,West South Central,32.766987,-96.778424,False,,TX0570600,Region III,South,TX,Texas
TX0711400,Horizon City Police Department,City,EL PASO,West South Central,31.766403,-106.24139,False,,TX0711400,Region III,South,TX,Texas
TX1020000,Harrison County Sheriff's Office,County,HARRISON,West South Central,32.547991,-94.374434,False,07/01/2018,TX1020000,Region III,South,TX,Texas
TX2430400,Iowa Park Police Department,City,WICHITA,West South Central,33.991103,-98.716851,True,01/01/1999,TX2430400,Region III,South,TX,Texas
TX0490800,Oak Ridge Police Department,City,COOKE,West South Central,33.648117,-97.04071,False,,TX0490800,Region III,South,TX,Texas
TX0430300,Farmersville Police Department,City,COLLIN,West South Central,33.16445,-96.36109,False,,TX0430300,Region III,South,TX,Texas
TX1070700,Gun Barrel City Police Department,City,HENDERSON,West South Central,32.211633,-95.853418,False,06/01/2018,TX1070700,Region III,South,TX,Texas
TX0790500,Sugar Land Police Department,City,FORT BEND,West South Central,29.526602,-95.771015,False,,TX0790500,Region III,South,TX,Texas
TX0510100,Paducah Police Department,City,COTTLE,West South Central,34.091906,-100.276442,False,,TX0510100,Region III,South,TX,Texas
TX1230100,Beaumont Police Department,City,JEFFERSON,West South Central,29.854,-94.149331,False,,TX1230100,Region III,South,TX,Texas
TX0210400,Texas A&M University: College Station,University or College,BRAZOS,West South Central,30.656725,-96.302389,False,,TX0210400,Region III,South,TX,Texas
TX1160300,Greenville Police Department,City,HUNT,West South Central,33.123292,-96.084202,False,,TX1160300,Region III,South,TX,Texas
TX2520000,Young County Sheriff's Office,County,YOUNG,West South Central,33.158787,-98.678267,False,,TX2520000,Region III,South,TX,Texas
TX0660000,Duval County Sheriff's Office,County,DUVAL,West South Central,27.681123,-98.497393,True,04/01/2018,TX0660000,Region III,South,TX,Texas
TX0151500,Windcrest Police Department,City,BEXAR,West South Central,29.516685,-98.38106,False,,TX0151500,Region III,South,TX,Texas
TX2200700,Dalworthington Gardens Police Department,City,TARRANT,West South Central,32.70231,-97.1553,False,,TX2200700,Region III,South,TX,Texas
TX0230000,Briscoe County Sheriff's Office,County,BRISCOE,West South Central,34.525172,-101.205893,False,08/01/2018,TX0230000,Region III,South,TX,Texas
TX1720200,Lone Star Police Department,City,MORRIS,West South Central,33.116466,-94.731265,False,,TX1720200,Region III,South,TX,Texas
TX0700500,Midlothian Police Department,City,ELLIS,West South Central,32.347294,-96.798231,False,,TX0700500,Region III,South,TX,Texas
TX0010100,Palestine Police Department,City,ANDERSON,West South Central,31.763123,-95.63455,True,02/01/2017,TX0010100,Region III,South,TX,Texas
TX2300100,Big Sandy Police Department,City,UPSHUR,West South Central,32.735349,-94.941184,False,,TX2300100,Region III,South,TX,Texas
TX0841900,Jamaica Beach Police Department,City,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0841900,Region III,South,TX,Texas
TX1710400,Cactus Police Department,City,MOORE,West South Central,35.835676,-101.890502,False,02/01/2018,TX1710400,Region III,South,TX,Texas
TX0910600,Whitesboro Police Department,City,GRAYSON,West South Central,33.624508,-96.675699,False,,TX0910600,Region III,South,TX,Texas
TX0220200,Sul Ross State University,University or College,BREWSTER,West South Central,30.356956,-103.65161,False,05/01/2018,TX0220200,Region III,South,TX,Texas
TX0160200,Johnson City Police Department,City,BLANCO,West South Central,30.265605,-98.399977,False,,TX0160200,Region III,South,TX,Texas
TX0571700,Lancaster Police Department,City,DALLAS,West South Central,32.766987,-96.778424,True,01/01/2000,TX0571700,Region III,South,TX,Texas
TX1730000,Motley County Sheriff's Office,County,MOTLEY,West South Central,34.057899,-100.793152,False,,TX1730000,Region III,South,TX,Texas
TX1300000,Kendall County Sheriff's Office,County,KENDALL,West South Central,29.804724,-98.722595,True,11/01/2016,TX1300000,Region III,South,TX,Texas
TX0791600,Independent School District: Fort Bend,Other,FORT BEND,West South Central,29.526602,-95.771015,False,,TX0791600,Region III,South,TX,Texas
TX0920400,Kilgore Police Department,City,RUSK; GREGG,West South Central,32.486397,-94.816276,True,04/01/2015,TX0920400,Region III,South,TX,Texas
TX0380100,Childress Police Department,City,CHILDRESS,West South Central,34.529337,-100.208336,False,,TX0380100,Region III,South,TX,Texas
TX1940100,Clarksville Police Department,City,RED RIVER,West South Central,33.610325,-95.05523,False,,TX1940100,Region III,South,TX,Texas
TX0141700,Troy Police Department,City,BELL,West South Central,31.042303,-97.481374,False,,TX0141700,Region III,South,TX,Texas
TX1010200,Bellaire Police Department,City,HARRIS,West South Central,29.702028,-95.46946,False,,TX1010200,Region III,South,TX,Texas
TX0880000,Goliad County Sheriff's Office,County,GOLIAD,West South Central,28.665903,-97.3847,True,01/01/2012,TX0880000,Region III,South,TX,Texas
TX1701700,Montgomery Police Department,City,MONTGOMERY,West South Central,30.299402,-95.504008,False,,TX1701700,Region III,South,TX,Texas
TX1161400,Quinlan Police Department,City,HUNT,West South Central,33.123292,-96.084202,False,,TX1161400,Region III,South,TX,Texas
TX0720100,Dublin Police Department,City,ERATH,West South Central,32.08482,-98.34084,False,,TX0720100,Region III,South,TX,Texas
TX2500300,Mineola Police Department,City,WOOD,West South Central,32.675674,-95.48656,False,,TX2500300,Region III,South,TX,Texas
TX1380200,Knox City Police Department,City,KNOX,West South Central,33.616657,-99.747112,False,07/01/2018,TX1380200,Region III,South,TX,Texas
TX0370300,Rusk Police Department,City,CHEROKEE,West South Central,31.79308,-95.150444,True,10/01/2008,TX0370300,Region III,South,TX,Texas
TX0940000,Guadalupe County Sheriff's Office,County,GUADALUPE,West South Central,29.602009,-97.97006,False,,TX0940000,Region III,South,TX,Texas
TX1170100,Borger Police Department,City,HUTCHINSON,West South Central,35.837047,-101.362746,True,07/01/2016,TX1170100,Region III,South,TX,Texas
TX1390000,Lamar County Sheriff's Office,County,LAMAR,West South Central,33.65229,-95.55757,False,,TX1390000,Region III,South,TX,Texas
TX1082900,Independent School District: Weslaco,Other,HIDALGO,West South Central,26.396384,-98.18099,False,,TX1082900,Region III,South,TX,Texas
TX1620100,Eagle Pass Police Department,City,MAVERICK,West South Central,28.705912,-100.500465,False,,TX1620100,Region III,South,TX,Texas
TX0950400,Plainview Police Department,City,HALE,West South Central,34.189625,-101.70323,False,01/01/2018,TX0950400,Region III,South,TX,Texas
TX1072300,Independent School District: Athens,Other,HENDERSON,West South Central,32.204185,-95.8588,False,,TX1072300,Region III,South,TX,Texas
TX1840400,Hudson Oaks Police Department,City,PARKER,West South Central,32.76851,-97.712,False,04/01/2018,TX1840400,Region III,South,TX,Texas
TX1370300,Texas A&M University: Kingsville,University or College,KLEBERG,West South Central,27.438735,-97.66062,False,,TX1370300,Region III,South,TX,Texas
TX2510100,Denver City Police Department,City,YOAKUM,West South Central,33.162398,-102.832242,False,,TX2510100,Region III,South,TX,Texas
TX0572400,University Park Police Department,City,DALLAS,West South Central,32.845383,-96.797325,False,06/01/2018,TX0572400,Region III,South,TX,Texas
TX0310700,Primera Police Department,City,CAMERON,West South Central,26.102923,-97.478958,False,,TX0310700,Region III,South,TX,Texas
TX2120000,Smith County Sheriff's Office,County,SMITH,West South Central,32.375106,-95.268743,False,,TX2120000,Region III,South,TX,Texas
TX1460100,Cleveland Police Department,City,MONTGOMERY; LIBERTY,West South Central,30.342987,-95.07747,False,,TX1460100,Region III,South,TX,Texas
TX2202300,River Oaks Police Department,City,TARRANT,West South Central,32.778767,-97.393,False,,TX2202300,Region III,South,TX,Texas
TX2350100,Victoria Police Department,City,VICTORIA,West South Central,28.79637,-96.971198,True,04/01/2002,TX2350100,Region III,South,TX,Texas
TX0490100,Gainesville Police Department,City,COOKE,West South Central,33.641155,-97.14656,False,,TX0490100,Region III,South,TX,Texas
TX1016600,Lakeview Police Department,City,HARRIS,West South Central,29.857273,-95.393037,False,,TX1016600,Region III,South,TX,Texas
TX0730100,Lott Police Department,City,FALLS,West South Central,31.25193,-96.934127,False,,TX0730100,Region III,South,TX,Texas
TX0140900,Central Texas College,University or College,BELL,West South Central,31.042303,-97.481374,False,,TX0140900,Region III,South,TX,Texas
TX0960200,Estelline Police Department,City,HALL,West South Central,34.453189,-100.576343,False,,TX0960200,Region III,South,TX,Texas
TX1850200,Friona Police Department,City,PARMER,West South Central,34.532163,-102.784853,False,08/01/2018,TX1850200,Region III,South,TX,Texas
TX1360500,Brackettville Police Department,City,KINNEY,West South Central,29.347086,-100.4177,False,,TX1360500,Region III,South,TX,Texas
TX1083200,Sullivan City Police Department,City,HIDALGO,West South Central,26.396384,-98.18099,False,,TX1083200,Region III,South,TX,Texas
TX0260000,Burleson County Sheriff's Office,County,BURLESON,West South Central,30.526308,-96.70823,False,,TX0260000,Region III,South,TX,Texas
TX1391000,Reno Police Department,City,LAMAR,West South Central,33.667263,-95.570348,True,01/01/2016,TX1391000,Region III,South,TX,Texas
TX0203200,Independent School District: Alvin,Other,BRAZORIA,West South Central,29.167817,-95.434647,False,,TX0203200,Region III,South,TX,Texas
TX1150000,Hudspeth County Sheriff's Office,County,HUDSPETH,West South Central,31.450868,-105.377549,False,,TX1150000,Region III,South,TX,Texas
TX2340300,Grand Saline Police Department,City,VAN ZANDT,West South Central,32.558948,-95.836391,False,06/01/2018,TX2340300,Region III,South,TX,Texas
TX1291500,Independent School District: Kaufman,Other,KAUFMAN,West South Central,32.58366,-96.312706,False,,TX1291500,Region III,South,TX,Texas
TX0110000,Bastrop County Sheriff's Office,County,BASTROP,West South Central,30.102219,-97.30746,False,,TX0110000,Region III,South,TX,Texas
TX0970000,Hamilton County Sheriff's Office,County,HAMILTON,West South Central,31.6949,-98.12756,False,,TX0970000,Region III,South,TX,Texas
TX1520600,Texas Tech University: Lubbock,University or College,LUBBOCK,West South Central,33.611469,-101.819944,True,07/01/2017,TX1520600,Region III,South,TX,Texas
TX0573500,North Lake College,University or College,DALLAS,West South Central,32.875572,-96.96278,False,,TX0573500,Region III,South,TX,Texas
TX0460700,Garden Ridge Police Department,City,COMAL,West South Central,29.806091,-98.260554,False,05/01/2018,TX0460700,Region III,South,TX,Texas
TX0020100,Andrews Police Department,City,ANDREWS,West South Central,32.312258,-102.640206,False,,TX0020100,Region III,South,TX,Texas
TX0250200,Brownwood Police Department,City,BROWN,West South Central,31.727455,-99.001884,False,01/01/2018,TX0250200,Region III,South,TX,Texas
TX2201200,Fort Worth Police Department,City,PARKER; DENTON; TARRANT,West South Central,32.77204,-97.291291,True,10/01/2005,TX2201200,Region III,South,TX,Texas
TX0290900,Independent School District: Calhoun County,Other,CALHOUN,West South Central,28.445366,-96.5833,True,09/01/2017,TX0290900,Region III,South,TX,Texas
TX2270000,Travis County Sheriff's Office,County,TRAVIS,West South Central,30.239513,-97.69127,False,,TX2270000,Region III,South,TX,Texas
TX0420000,Coleman County Sheriff's Office,County,COLEMAN,West South Central,31.83102,-99.42296,False,,TX0420000,Region III,South,TX,Texas
TX2500400,Quitman Police Department,City,WOOD,West South Central,32.783588,-95.382166,False,,TX2500400,Region III,South,TX,Texas
TX0150700,Hill Country Village Police Department,City,BEXAR,West South Central,29.448671,-98.520147,False,,TX0150700,Region III,South,TX,Texas
TX1012000,Southside Place Police Department,City,HARRIS,West South Central,29.714529,-95.43381,False,07/01/2018,TX1012000,Region III,South,TX,Texas
TX0500100,Copperas Cove Police Department,City,LAMPASAS; CORYELL,West South Central,31.122324,-97.90073,False,,TX0500100,Region III,South,TX,Texas
TX2190100,Happy Police Department,City,RANDALL; SWISHER,West South Central,34.53046,-101.732852,True,07/01/2015,TX2190100,Region III,South,TX,Texas
TX0711600,Socorro Police Department,City,EL PASO,West South Central,31.67125,-106.27893,False,,TX0711600,Region III,South,TX,Texas
TX0432000,Lavon Police Department,City,COLLIN,West South Central,33.194745,-96.579846,False,,TX0432000,Region III,South,TX,Texas
TX1700000,Montgomery County Sheriff's Office,County,MONTGOMERY,West South Central,30.335955,-95.453255,False,,TX1700000,Region III,South,TX,Texas
TX0180100,Clifton Police Department,City,BOSQUE,West South Central,31.900764,-97.637632,False,,TX0180100,Region III,South,TX,Texas
TX1070100,Athens Police Department,City,HENDERSON,West South Central,32.208633,-95.85635,False,01/01/2018,TX1070100,Region III,South,TX,Texas
TX0010300,Frankston Police Department,City,HENDERSON; ANDERSON,West South Central,31.841266,-95.661744,True,10/01/2016,TX0010300,Region III,South,TX,Texas
TX0790300,Rosenberg Police Department,City,FORT BEND,West South Central,29.526602,-95.771015,True,01/01/2018,TX0790300,Region III,South,TX,Texas
TX0820000,Frio County Sheriff's Office,County,FRIO,West South Central,28.887709,-99.091835,False,,TX0820000,Region III,South,TX,Texas
TX1014200,University of Houston: Downtown Campus,University or College,HARRIS,West South Central,29.764938,-95.35893,False,,TX1014200,Region III,South,TX,Texas
TX2200100,Arlington Police Department,City,TARRANT,West South Central,32.73912,-97.113525,True,02/01/2016,TX2200100,Region III,South,TX,Texas
TX0700700,Palmer Police Department,City,ELLIS,West South Central,32.347294,-96.798231,False,,TX0700700,Region III,South,TX,Texas
TX1550000,McLennan County Sheriff's Office,County,MCLENNAN,West South Central,31.55447,-97.1364,True,02/01/1998,TX1550000,Region III,South,TX,Texas
TX2030100,San Augustine Police Department,City,SAN AUGUSTINE,West South Central,31.382449,-94.16318,False,,TX2030100,Region III,South,TX,Texas
TX2470700,La Vernia Police Department,City,WILSON,West South Central,29.173883,-98.086734,False,,TX2470700,Region III,South,TX,Texas
TX2430200,Electra Police Department,City,WICHITA,West South Central,34.029793,-98.918495,True,01/01/2017,TX2430200,Region III,South,TX,Texas
TX0570000,Dallas County Sheriff's Office,County,DALLAS,West South Central,32.766987,-96.778424,False,,TX0570000,Region III,South,TX,Texas
TX0090100,Muleshoe Police Department,City,BAILEY,West South Central,34.22386,-102.72415,False,05/01/2018,TX0090100,Region III,South,TX,Texas
TX2460900,Cedar Park Police Department,City,TRAVIS; WILLIAMSON,West South Central,30.52114,-97.823265,False,,TX2460900,Region III,South,TX,Texas
TX0271100,Horseshoe Bay Police Department,City,BURNET; LLANO,West South Central,30.78963,-98.201187,False,02/01/2018,TX0271100,Region III,South,TX,Texas
TX0791400,Fulshear,City,FORT BEND,West South Central,29.526602,-95.771015,False,01/01/2018,TX0791400,Region III,South,TX,Texas
TX0041000,Fulton Police Department,City,ARANSAS,West South Central,,,False,,TX0041000,Region III,South,TX,Texas
TX2203600,Dallas-Fort Worth International Airport,Other,TARRANT,West South Central,32.77204,-97.291291,True,07/01/2003,TX2203600,Region III,South,TX,Texas
TX2272400,Independent School District: Austin,Other,TRAVIS,West South Central,30.239513,-97.69127,False,,TX2272400,Region III,South,TX,Texas
TX1551100,Robinson Police Department,City,MCLENNAN,West South Central,31.468706,-97.11562,False,,TX1551100,Region III,South,TX,Texas
TX0940600,Cibolo Police Department,City,GUADALUPE,West South Central,29.583532,-97.948858,False,,TX0940600,Region III,South,TX,Texas
TX1770300,Sweetwater Police Department,City,NOLAN,West South Central,32.312338,-100.418108,True,01/01/2017,TX1770300,Region III,South,TX,Texas
TX0840900,Texas City Police Department,City,GALVESTON,West South Central,29.393375,-94.90877,False,,TX0840900,Region III,South,TX,Texas
TX0810200,Teague Police Department,City,FREESTONE,West South Central,31.70126,-96.144487,False,,TX0810200,Region III,South,TX,Texas
TX0571100,Garland Police Department,City,ROCKWALL; COLLIN; DALLAS,West South Central,32.908943,-96.65579,False,,TX0571100,Region III,South,TX,Texas
TX1780100,Bishop Police Department,City,NUECES,West South Central,27.738129,-97.518441,False,,TX1780100,Region III,South,TX,Texas
TX1690200,Nocona Police Department,City,MONTAGUE,West South Central,33.788044,-97.725525,False,,TX1690200,Region III,South,TX,Texas
TX1370100,Kingsville Police Department,City,KLEBERG,West South Central,27.438735,-97.66062,False,,TX1370100,Region III,South,TX,Texas
TX0430000,Collin County Sheriff's Office,County,COLLIN,West South Central,33.248085,-96.635704,True,01/01/1997,TX0430000,Region III,South,TX,Texas
TX0572600,University of Texas: Southwestern Medical School,University or College,DALLAS,West South Central,32.81252,-96.838135,False,,TX0572600,Region III,South,TX,Texas
TX0310900,San Benito Police Department,City,CAMERON,West South Central,26.102923,-97.478958,False,,TX0310900,Region III,South,TX,Texas
TX0950200,Hale Center Police Department,City,HALE,West South Central,34.068436,-101.822888,False,,TX0950200,Region III,South,TX,Texas
TX1160000,Hunt County Sheriff's Office,County,HUNT,West South Central,33.13758,-96.10548,False,,TX1160000,Region III,South,TX,Texas
TX2371000,Independent School District: Hempstead,Other,WALLER,West South Central,30.013578,-95.982102,False,,TX2371000,Region III,South,TX,Texas
TX1460300,Dayton Police Department,City,LIBERTY,West South Central,30.046,-94.88714,True,05/01/2017,TX1460300,Region III,South,TX,Texas
TX0843100,Independent School District: Galveston,Other,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0843100,Region III,South,TX,Texas
TX0730300,Rosebud Police Department,City,FALLS,West South Central,31.25193,-96.934127,False,,TX0730300,Region III,South,TX,Texas
TX2202500,Sansom Park Village Police Department,City,TARRANT,West South Central,32.803463,-97.40217,False,,TX2202500,Region III,South,TX,Texas
TX1083000,Penitas Police Department,City,HIDALGO,West South Central,26.396384,-98.18099,False,,TX1083000,Region III,South,TX,Texas
TX1011100,Jacinto City Police Department,City,HARRIS,West South Central,29.76755,-95.24478,False,,TX1011100,Region III,South,TX,Texas
TX1630100,Castroville Police Department,City,MEDINA,West South Central,29.353661,-99.111085,False,06/01/2018,TX1630100,Region III,South,TX,Texas
